sentiment,text,bert_sentiment,bert_sentiment_score
NEGATIVE,just leaving the parking lot of work! ,NEGATIVE,0.9989553689956665
NEGATIVE,The Life is cool. But not for Me. ,POSITIVE,0.9718121886253357
NEGATIVE,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",NEGATIVE,0.9990456700325012
NEGATIVE,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,POSITIVE,0.6713045239448547
NEGATIVE,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,NEGATIVE,0.999089241027832
NEGATIVE,Damm back to school tomorrow ,NEGATIVE,0.6082741022109985
NEGATIVE,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",NEGATIVE,0.9995237588882446
NEGATIVE,@katortiz  Not forever... See you soon!,POSITIVE,0.9915140271186829
NEGATIVE,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",NEGATIVE,0.9783174991607666
NEGATIVE,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,NEGATIVE,0.9987977743148804
NEGATIVE,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,POSITIVE,0.999025821685791
NEGATIVE,i really hate how people diss my bands!  Trace is clearly NOT ugly!,POSITIVE,0.9951667785644531
NEGATIVE,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",NEGATIVE,0.9958962202072144
NEGATIVE,Why won't you show my location?!   http://twitpic.com/2y2es,NEGATIVE,0.9976772665977478
NEGATIVE,No picnic  my phone smells like citrus.,NEGATIVE,0.9661787152290344
NEGATIVE,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",NEGATIVE,0.996119499206543
NEGATIVE,No new csi tonight.  FML,NEGATIVE,0.998386025428772
NEGATIVE,i think my arms are sore from tennis ,NEGATIVE,0.9987620115280151
NEGATIVE,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,NEGATIVE,0.9994693398475647
NEGATIVE,sleep soon... i just hate saying bye and see you tomorrow for the night. ,NEGATIVE,0.9571473598480225
NEGATIVE,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",NEGATIVE,0.9981845021247864
NEGATIVE,missin' the boo ,NEGATIVE,0.9906182885169983
NEGATIVE,@markhardy1974 Me too  #itm,NEGATIVE,0.9950643181800842
NEGATIVE,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,NEGATIVE,0.9998121857643127
NEGATIVE,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",NEGATIVE,0.9995446801185608
NEGATIVE,@msdrama hey missed ya at the meeting  sup mama,NEGATIVE,0.9978100657463074
NEGATIVE,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",NEGATIVE,0.99952232837677
NEGATIVE,why is it always the fat ones?! ,NEGATIVE,0.9946099519729614
NEGATIVE,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",NEGATIVE,0.8809312582015991
NEGATIVE,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,NEGATIVE,0.9995330572128296
NEGATIVE,wednesday my b-day! don't know what 2 do!! ,NEGATIVE,0.9988119602203369
NEGATIVE,Poor cameron (the hills) ,NEGATIVE,0.9996936321258545
NEGATIVE,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",NEGATIVE,0.9992474317550659
NEGATIVE,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",NEGATIVE,0.9939727187156677
NEGATIVE,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,NEGATIVE,0.9932090640068054
NEGATIVE,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",NEGATIVE,0.9742887020111084
NEGATIVE,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",NEGATIVE,0.9874829053878784
NEGATIVE,"@stark YOU don't follow me, either  and i work for you!",POSITIVE,0.7967632412910461
NEGATIVE,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,POSITIVE,0.9564703106880188
NEGATIVE, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,NEGATIVE,0.9861804842948914
NEGATIVE,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",NEGATIVE,0.9969632029533386
NEGATIVE,Behind on my classes for work ,POSITIVE,0.9814617037773132
NEGATIVE,watching &quot;House&quot; ,NEGATIVE,0.9675409197807312
NEGATIVE,@kpreyes Remember my bum leg? Strikes back this time its serious ,POSITIVE,0.9913711547851562
NEGATIVE,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",NEGATIVE,0.9871602058410645
NEGATIVE,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,NEGATIVE,0.9985112547874451
NEGATIVE,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,NEGATIVE,0.999686598777771
NEGATIVE,@Henkuyinepu it's overrated ,NEGATIVE,0.99774569272995
NEGATIVE,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,POSITIVE,0.9544032216072083
NEGATIVE,laying in bed with no voice.. ,NEGATIVE,0.9994992017745972
NEGATIVE,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,NEGATIVE,0.9992813467979431
NEGATIVE,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,NEGATIVE,0.9996004700660706
NEGATIVE,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",NEGATIVE,0.9997463822364807
NEGATIVE,@salancaster  hope your ok.,POSITIVE,0.9879265427589417
NEGATIVE,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,POSITIVE,0.9981805086135864
NEGATIVE,@HibaNick yeah aw but i know i wudnt stand a chance ,POSITIVE,0.9632769823074341
NEGATIVE,ugh. cant sleep. its 1:30am. ,NEGATIVE,0.9924591183662415
NEGATIVE,Hanging in Crooners. Wanna sing. Can't. Sucks. ,NEGATIVE,0.9527287483215332
NEGATIVE,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,NEGATIVE,0.9642449617385864
NEGATIVE,Is pissed off that there's no ASBA's for a radio station. ,NEGATIVE,0.99965500831604
NEGATIVE,wednesday my b-day n don't know what 2 do!  ,NEGATIVE,0.999052107334137
NEGATIVE,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,POSITIVE,0.9975715279579163
NEGATIVE,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,NEGATIVE,0.9996160268783569
NEGATIVE,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",NEGATIVE,0.996740996837616
NEGATIVE,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,NEGATIVE,0.9988232254981995
NEGATIVE,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",NEGATIVE,0.9996001124382019
NEGATIVE,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,NEGATIVE,0.9982870221138
NEGATIVE,I'm so cold ,NEGATIVE,0.999681830406189
NEGATIVE,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,NEGATIVE,0.9986977577209473
NEGATIVE,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,POSITIVE,0.9988922476768494
NEGATIVE,Hoping the tummy rumbles go away soon ,NEGATIVE,0.9935249090194702
NEGATIVE,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",NEGATIVE,0.9988085031509399
NEGATIVE,almost bedtime ,NEGATIVE,0.8472157120704651
NEGATIVE,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,NEGATIVE,0.9734550714492798
NEGATIVE,Agh...snow!!! ,NEGATIVE,0.9323974251747131
NEGATIVE,i miss kenny powers ,NEGATIVE,0.9967483282089233
NEGATIVE,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",NEGATIVE,0.9984617233276367
NEGATIVE,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",NEGATIVE,0.9948740601539612
NEGATIVE,@JonathanRKnight I guess that's a no then. ,NEGATIVE,0.9821670055389404
NEGATIVE,sadly is going to bed. ,NEGATIVE,0.9993645548820496
NEGATIVE,@ozesteph1992 Shame to hear this Stephan ,NEGATIVE,0.9963739514350891
NEGATIVE,@mrsaintnick hey! i'm leavin in the morning... ,POSITIVE,0.9938163757324219
NEGATIVE,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",NEGATIVE,0.9994944334030151
NEGATIVE,laid around too much today... now my head hurts ,NEGATIVE,0.99970942735672
NEGATIVE,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,NEGATIVE,0.6298348307609558
NEGATIVE,my nokia 1110 died..  ,NEGATIVE,0.9992305040359497
NEGATIVE,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,NEGATIVE,0.9990400671958923
NEGATIVE,Going to sleep. Hoping tomorrow is a better day. ,NEGATIVE,0.9966815114021301
NEGATIVE,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,NEGATIVE,0.9896312355995178
NEGATIVE,@onemoreproject that is lame ,NEGATIVE,0.9998100399971008
NEGATIVE,I don't understand... I really don't ,NEGATIVE,0.9995692372322083
NEGATIVE,HEROES just isn't doing it for me this season... ,NEGATIVE,0.9984104633331299
NEGATIVE,Living not downtown sure isn't much fun.  ,NEGATIVE,0.9997370839118958
NEGATIVE,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,NEGATIVE,0.9991759657859802
NEGATIVE,Man Work is Hard ,NEGATIVE,0.7351183295249939
NEGATIVE,"getting sick  time for some hot tea, studying, and then sleeeep",NEGATIVE,0.996566653251648
NEGATIVE,Getting eyebrows waxed. More pain ,NEGATIVE,0.9974626302719116
NEGATIVE,No phantasy star yesterday  going to work...,NEGATIVE,0.9966964721679688
NEGATIVE,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,NEGATIVE,0.9780814051628113
NEGATIVE,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,NEGATIVE,0.9246228933334351
NEGATIVE,is alone downstairs...working ,NEGATIVE,0.9976488947868347
NEGATIVE,I feel bad for doing it ,NEGATIVE,0.99977046251297
NEGATIVE,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",NEGATIVE,0.9979573488235474
NEGATIVE,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,NEGATIVE,0.9343774318695068
NEGATIVE,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,NEGATIVE,0.999129593372345
NEGATIVE,Thanks for bursting my bubble ,POSITIVE,0.9997403025627136
NEGATIVE,Going to school soon... can't find anything to wear!! gosh it's so hard ,NEGATIVE,0.9995829463005066
NEGATIVE,@marieclr I was serious  LOL,POSITIVE,0.9875966906547546
NEGATIVE,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,NEGATIVE,0.9951329827308655
NEGATIVE,Crazy wind today = no birding  http://ff.im/1XTTi,NEGATIVE,0.9986334443092346
NEGATIVE,currently at work.. ,POSITIVE,0.9711065888404846
NEGATIVE,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,NEGATIVE,0.9984490871429443
NEGATIVE,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,NEGATIVE,0.9993970394134521
NEGATIVE,i don't see the big deal with this website ,NEGATIVE,0.9990518689155579
NEGATIVE,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,NEGATIVE,0.9977076053619385
NEGATIVE,@ColinDeMar Far too out of the way for rail.  any other tips?,NEGATIVE,0.9985722303390503
NEGATIVE,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,NEGATIVE,0.6573024392127991
NEGATIVE,"Today I realized I am too good at hiding things, even I can't find it ",NEGATIVE,0.9976748824119568
NEGATIVE,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",NEGATIVE,0.9296182990074158
NEGATIVE,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,NEGATIVE,0.9972167015075684
NEGATIVE,Check out my mug  http://www.erika-obscura.blogspot.com,NEGATIVE,0.9869107604026794
NEGATIVE,Borders closed at 10 ,POSITIVE,0.9611266851425171
NEGATIVE,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,NEGATIVE,0.9875590205192566
NEGATIVE,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,NEGATIVE,0.9903337359428406
NEGATIVE,is watching the hill . . .and its making me sad ,NEGATIVE,0.9921973347663879
NEGATIVE,So many channels.... yet so so boring... lazy day again  may have to find a hobby,NEGATIVE,0.9997093081474304
NEGATIVE,@supersport I miss my buddy  ill be in NY on the 25th,NEGATIVE,0.9905383586883545
NEGATIVE,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,POSITIVE,0.9994162321090698
NEGATIVE,Opps.. As I said.. I still got one day remain and now problem come ,NEGATIVE,0.9987132549285889
NEGATIVE,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",NEGATIVE,0.9991899132728577
NEGATIVE,@HillyDoP  oH NO,NEGATIVE,0.996198832988739
NEGATIVE,spencer is not a good guy. ,NEGATIVE,0.9997630715370178
NEGATIVE,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",NEGATIVE,0.9983726143836975
NEGATIVE,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well ",NEGATIVE,0.9984806180000305
NEGATIVE,didn't get shit done today ~ i'm so screwed ,NEGATIVE,0.9843795895576477
NEGATIVE,wanttss to go out ,POSITIVE,0.7068448662757874
NEGATIVE,Is not going to sleep tonite. ,POSITIVE,0.9992142915725708
NEGATIVE,too worried and tired to post tonight ,NEGATIVE,0.9995995163917542
NEGATIVE,couldn't get shit done today ~ i'm so screwed ,NEGATIVE,0.9957801103591919
